artist,song,e_label,v_label,youtube_link
Craig David,Fill Me In,2.0,2.0,https://youtube.com/watch?v=3imO7PFU5cI
Christina Aguilera,I Turn to You,1.0,0.0,https://youtube.com/watch?v=z4q05resEvc
Madonna,American Pie,2.0,1.0,https://youtube.com/watch?v=X4RDB-mMDJg
Red Hot Chili Peppers,Otherside,2.0,1.0,https://youtube.com/watch?v=rn_YodiJO6k
Sammie,I Like It,1.0,2.0,https://youtube.com/watch?v=YeWp7MNvGxQ
Craig David,7 Days,2.0,2.0,https://youtube.com/watch?v=P5lmb5-tnM0
Santana,Maria Maria (feat. The Product G&B),1.0,2.0,https://youtube.com/watch?v=nPLV7lGbmT4
Kandi,Don't Think I'm Not,1.0,1.0,https://youtube.com/watch?v=sYRiwOKJvtg
P!nk,There You Go,2.0,2.0,https://youtube.com/watch?v=66LnhtnSoKc
Vengaboys,Shalala Lala,2.0,2.0,https://youtube.com/watch?v=Obi4iELWJ3Y
Ronan Keating,Life Is A Rollercoaster,2.0,2.0,https://youtube.com/watch?v=MpBTTlXzuGY
Madison Avenue,Don't Call Me Baby,2.0,2.0,https://youtube.com/watch?v=M1kEjj3Ej68
Destiny's Child,"Jumpin', Jumpin'",2.0,2.0,https://youtube.com/watch?v=Vjw92oUduEM
Céline Dion,That's the Way It Is,2.0,1.0,https://youtube.com/watch?v=T6wbugWrfLU
3 Doors Down,Kryptonite,2.0,1.0,https://youtube.com/watch?v=xPU8OAjjS4k
Carl Thomas,I Wish,1.0,0.0,https://youtube.com/watch?v=9fQwrkTktug
Mystikal,Shake Ya Ass,1.0,1.0,https://youtube.com/watch?v=Ic28JniSYY4
Fuel,Hemorrhage (In My Hands),2.0,0.0,https://youtube.com/watch?v=ZbHfgXJKn1Y
Donell Jones,Where I Wanna Be,1.0,1.0,https://youtube.com/watch?v=PhfCgSA6DeQ
Savage Garden,Crash and Burn,1.0,0.0,https://youtube.com/watch?v=W60IPexop30
Westlife,My Love,1.0,0.0,https://youtube.com/watch?v=ulOb9gIGGd0
All Saints,Pure Shores,1.0,1.0,https://youtube.com/watch?v=dVNdTXEJv1A
Destiny's Child,"Independent Women, Pt. 1",1.0,2.0,https://youtube.com/watch?v=0lPQZni7I18
*NSYNC,It's Gonna Be Me,2.0,2.0,https://youtube.com/watch?v=GQMlWwIXg3M
Erykah Badu,Bag Lady,1.0,1.0,https://youtube.com/watch?v=OqN0jsSeqPo
Marc Anthony,You Sang To Me,2.0,2.0,https://youtube.com/watch?v=MY4YJxn-9Og
Matchbox Twenty,Bent,2.0,1.0,https://youtube.com/watch?v=969RAKkYESU
Gabrielle,Rise,1.0,1.0,https://youtube.com/watch?v=qDcmf_GhlZY
Backstreet Boys,Shape of My Heart,2.0,1.0,https://youtube.com/watch?v=OT5msu-dap8
Creed,With Arms Wide Open,1.0,0.0,https://youtube.com/watch?v=99j0zLuNhi8
The Corrs,Breathless,2.0,2.0,https://youtube.com/watch?v=vzerbXFwGCE
Joe,I Wanna Know,1.0,1.0,https://youtube.com/watch?v=dJ8VjyPw0qY
Wheatus,Teenage Dirtbag,2.0,1.0,https://youtube.com/watch?v=FC3y9llDXuM
Christina Aguilera,Come on over Baby (All I Want Is You) - Radio Version,2.0,2.0,https://youtube.com/watch?v=cg1dq7ADCnc
Creed,Higher,2.0,1.0,https://youtube.com/watch?v=J16lInLZRms
Britney Spears,Lucky,2.0,2.0,https://youtube.com/watch?v=4vvBAONkYwI
Nelly,Country Grammar (Hot Shit),1.0,1.0,https://youtube.com/watch?v=Y5qKNlcUwKs
Shaggy,It Wasn't Me,1.0,1.0,https://youtube.com/watch?v=2g5Hz17C4is
Destiny's Child,Survivor,2.0,1.0,https://youtube.com/watch?v=Wmc8bQoL-J0
Eminem,Stan,2.0,1.0,https://youtube.com/watch?v=gOMhN-hfMtY
Kylie Minogue,Can't Get You out of My Head,1.0,2.0,https://youtube.com/watch?v=c18441Eh_WE
Christina Aguilera,"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",2.0,1.0,https://youtube.com/watch?v=RQa7SvVCdZk
Nelly Furtado,I'm Like A Bird,1.0,1.0,https://youtube.com/watch?v=roPQ_M3yJTA
Shakira,"Whenever, Wherever",2.0,2.0,https://youtube.com/watch?v=weRHyjj34ZE
Jimmy Eat World,The Middle,2.0,2.0,https://youtube.com/watch?v=oKsxPW6i3pM
Train,Drops of Jupiter (Tell Me),1.0,1.0,https://youtube.com/watch?v=7Xf-Lesrkuc
Geri Halliwell,It's Raining Men,2.0,1.0,https://youtube.com/watch?v=qqXUpe3jlkA
Blu Cantrell,Hit 'Em Up Style (Oops!),2.0,2.0,https://youtube.com/watch?v=LMOKlXfXn50
Britney Spears,I'm a Slave 4 U,2.0,2.0,https://youtube.com/watch?v=Mzybwwf2HoQ
Kylie Minogue,In Your Eyes,2.0,2.0,https://youtube.com/watch?v=OjETibEMbJY
Missy Elliott,One Minute Man (feat. Ludacris),2.0,1.0,https://youtube.com/watch?v=XayUCLgxS5c
Mary J. Blige,Family Affair,1.0,2.0,https://youtube.com/watch?v=znlFu_lemsU
Faithless,We Come 1 - Radio Edit,2.0,1.0,https://youtube.com/watch?v=7czSqEW0BLw
Limp Bizkit,Rollin' (Air Raid Vehicle),2.0,2.0,https://youtube.com/watch?v=RYnFIRc0k6E
Lasgo,Something,2.0,1.0,https://youtube.com/watch?v=BF5bV6oWXJg
iio,Rapture (feat.Nadia Ali),2.0,1.0,https://youtube.com/watch?v=on8DJBt07eU
Emma Bunton,What Took You So Long?,2.0,2.0,https://youtube.com/watch?v=ib66KaqesLY
112,It's Over Now,2.0,0.0,https://youtube.com/watch?v=IihCzGUEPbs
Blue,All Rise,2.0,2.0,https://youtube.com/watch?v=ALlMIF6vG8s
Jessica Simpson,Irresistible,2.0,2.0,https://youtube.com/watch?v=-qCDypgAV_E
Crazy Town,Butterfly,2.0,1.0,https://youtube.com/watch?v=6FEDrU85FLE
Michael Jackson,You Rock My World,2.0,2.0,https://youtube.com/watch?v=1-7ABIM2qjU
Eve,Let Me Blow Ya Mind,1.0,2.0,https://youtube.com/watch?v=Wt88GMJmVk0
Jennifer Lopez,Ain't It Funny,2.0,1.0,https://youtube.com/watch?v=GSLSwwkLRW0
Brandy,Another Day in Paradise - R&B-Version,2.0,1.0,https://youtube.com/watch?v=nltcUlPa7zU
Nickelback,How You Remind Me,2.0,1.0,https://youtube.com/watch?v=Aiay8I5IPB8
